midi_note,note_name,octave
0,C,-2
1,C#,-2
2,D,-2
3,D#,-2
4,E,-2
5,F,-2
6,F#,-2
7,G,-2
8,G#,-2
9,A,-2
10,A#,-2
11,B,-2
12,C,-1
13,C#,-1
14,D,-1
15,D#,-1
16,E,-1
17,F,-1
18,F#,-1
19,G,-1
20,G#,-1
21,A,-1
22,A#,-1
23,B,-1
24,C,0
25,C#,0
26,D,0
27,D#,0
28,E,0
29,F,0
30,F#,0
31,G,0
32,G#,0
33,A,0
34,A#,0
35,B,0
36,C,1
37,C#,1
38,D,1
39,D#,1
40,E,1
41,F,1
42,F#,1
43,G,1
44,G#,1
45,A,1
46,A#,1
47,B,1
48,C,2
49,C#,2
50,D,2
51,D#,2
52,E,2
53,F,2
54,F#,2
55,G,2
56,G#,2
57,A,2
58,A#,2
59,B,2
60,C,3
61,C#,3
62,D,3
63,D#,3
64,E,3
65,F,3
66,F#,3
67,G,3
68,G#,3
69,A,3
70,A#,3
71,B,3
72,C,4
73,C#,4
74,D,4
75,D#,4
76,E,4
77,F,4
78,F#,4
79,G,4
80,G#,4
81,A,4
82,A#,4
83,B,4
84,C,5
85,C#,5
86,D,5
87,D#,5
88,E,5
89,F,5
90,F#,5
91,G,5
92,G#,5
93,A,5
94,A#,5
95,B,5
96,C,6
97,C#,6
98,D,6
99,D#,6
100,E,6
101,F,6
102,F#,6
103,G,6
104,G#,6
105,A,6
106,A#,6
107,B,6
108,C,7
109,C#,7
110,D,7
111,D#,7
112,E,7
113,F,7
114,F#,7
115,G,7
116,G#,7
117,A,7
118,A#,7
119,B,7
120,C,8
121,C#,8
122,D,8
123,D#,8
124,E,8
125,F,8
126,F#,8
127,G,8
